"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"230","Johnny Gaudreau","CGY","L","82","1200.9666666667","26","46","37","9","72","75.00"
"616","Auston Matthews","TOR","C","73","1175.3833333333","38","28","16","12","66","75.00"
"613","Matthew Tkachuk","CGY","L","82","1181.7666666667","26","38","25","13","64","69.57"
"587","Kirill Kaprizov","MIN","L","81","1149.9166666667","25","37","26","11","62","83.78"
"560","Mitchell Marner","TOR","C, R","72","1054.9166666667","22","39","22","17","61","78.21"
"484","Michael Bunting","TOR","L","79","1095.05","21","37","22","15","58","65.91"
"516","Connor McDavid","EDM","C","80","1327.8166666667","22","36","24","12","58","79.45"
"96","Steven Stamkos","T.B","C","81","1072.1333333333","22","33","24","9","55","82.09"
"442","Leon Draisaitl","EDM","C","80","1284.7166666667","26","28","18","10","54","80.60"
"194","Vladimir Tarasenko","STL","R","75","976.56666666667","26","27","13","14","53","82.81"
"449","Kevin Fiala","MIN","L","82","1036.2","23","30","21","9","53","80.30"
"521","Timo Meier","S.J","R","77","1172.3166666667","20","33","18","15","53","82.81"
"754","Jason Robertson","DAL","L","74","1078.35","22","30","14","16","52","76.47"
"261","Jonathan Huberdeau","FLA","C, L","80","1009.15","17","33","19","14","50","76.92"
"392","Ryan Hartman","MIN","R","82","1119.8833333333","27","23","17","6","50","65.79"
"408","Nathan MacKinnon","COL","C","65","1034.0833333333","23","27","19","8","50","73.53"
"658","Jordan Kyrou","STL","C","74","1019.9666666667","22","28","22","6","50","83.33"
"667","Jesper Bratt","N.J","L","76","1033.1166666667","21","29","15","14","50","83.33"
"81","Patrick Kane","CHI","R","78","1298","15","34","23","11","49","75.38"
"377","Jake Guentzel","PIT","L","76","1156.8833333333","25","24","15","9","49","77.78"
"752","Robert Thomas","STL","C","72","1001.4166666667","12","37","24","13","49","69.01"
"17","Joe Pavelski","DAL","C","82","1162.4666666667","14","34","20","14","48","72.73"
"19","Alex Ovechkin","WSH","L","77","1128.55","24","24","14","10","48","73.85"
"107","Roman Josi","NSH","D","80","1570.5666666667","10","38","23","15","48","58.54"
"141","Nazem Kadri","COL","C","71","963.71666666667","16","32","22","10","48","80.00"
"388","Andre Burakovsky","COL","L","80","1100.8833333333","18","30","18","12","48","68.57"
"575","Artemi Panarin","NYR","L","75","1136.1833333333","13","35","23","12","48","85.71"
"137","Matt Duchene","NSH","C","78","1123.65","21","26","15","11","47","69.12"
"199","Jeff Skinner","BUF","L","80","1088.15","25","22","19","3","47","74.60"
"271","J.T. Miller","VAN","C","80","1152.4833333333","19","28","12","16","47","81.03"
"412","Elias Lindholm","CGY","C","82","1144.3166666667","25","22","11","11","47","55.29"
"452","Dylan Larkin","DET","C","71","1059.7333333333","22","25","17","8","47","81.03"
"585","Conor Garland","VAN","R","77","1075.6666666667","17","30","20","10","47","79.66"
"380","Carter Verhaeghe","FLA","C","78","1076.0666666667","21","25","14","11","46","77.97"
"512","Kyle Connor","WPG","L","79","1241.15","28","18","10","8","46","83.64"
"524","Mikko Rantanen","COL","R","75","1172.4833333333","17","29","17","12","46","54.12"
"673","Tage Thompson","BUF","R","78","1044.1","24","22","12","10","46","70.77"
"311","Filip Forsberg","NSH","L","69","932.31666666667","26","19","12","7","45","77.59"
"464","Ivan Barbashev","STL","C","81","1089.5666666667","17","28","19","9","45","75.00"
"348","Alexander Kerfoot","TOR","C","82","1055.5","11","32","16","16","43","68.25"
"441","Sam Reinhart","FLA","C","78","1006","14","29","19","10","43","68.25"
"461","David Pastrnak","BOS","R","72","992.88333333333","22","21","16","5","43","70.49"
"772","Cale Makar","COL","D","77","1464.3833333333","13","30","16","14","43","49.43"
"46","Brad Marchand","BOS","L","70","908.08333333333","18","24","14","10","42","80.77"
"176","Mats Zuccarello","MIN","C, R","70","983.83333333333","16","26","19","7","42","67.74"
"317","Chandler Stephenson","VGK","C","79","1137.7166666667","11","31","12","19","42","68.85"
"591","Troy Terry","ANA","C, R","75","1122.3166666667","23","19","9","10","42","77.78"
"376","Pavel Buchnevich","STL","L","73","983.71666666667","15","26","10","16","41","65.08"
"534","Travis Konecny","PHI","C, R","79","1082.1166666667","12","29","22","7","41","78.85"
"631","Clayton Keller","ARI","C, R","67","999.91666666667","18","23","14","9","41","73.21"
"826","Brady Tkachuk","OTT","L","79","1133.7833333333","15","26","20","6","41","73.21"
"202","Taylor Hall","BOS","L","81","1037.1166666667","10","30","19","11","40","67.80"
"276","Phillip Danault","L.A","C, L","79","1049.7666666667","24","16","7","9","40","75.47"
"446","William Nylander","TOR","C, R","81","1124.3","18","22","19","3","40","72.73"
"457","Nick Schmaltz","ARI","C","63","900.15","14","26","21","5","40","76.92"
"603","Mason Marchment","FLA","L","54","701.43333333333","15","25","11","14","40","78.43"
"908","Trevor Zegras","ANA","C","75","1066.2333333333","12","28","17","11","40","80.00"
"29","Sidney Crosby","PIT","C","69","1049.9833333333","15","24","16","8","39","70.91"
"135","John Tavares","TOR","C","79","1112.1833333333","15","24","11","13","39","68.42"
"264","Mika Zibanejad","NYR","C","81","1101.75","12","27","18","9","39","70.91"
"306","Tomas Hertl","S.J","C","82","1189.25","18","21","14","7","39","65.00"
"447","Nikolaj Ehlers","WPG","L","62","911.41666666667","20","19","14","5","39","70.91"
"627","Alex DeBrincat","CHI","L","82","1256.6666666667","18","21","10","11","39","66.10"
"265","Mark Scheifele","WPG","C","67","1084.5333333333","17","21","12","9","38","69.09"
"405","Tyler Bertuzzi","DET","L","68","1018.3333333333","18","20","10","10","38","71.70"
"409","Aleksander Barkov","FLA","C","67","884.73333333333","15","23","14","9","38","70.37"
"528","Sebastian Aho","CAR","C, R","79","999.9","15","23","15","8","38","73.08"
"739","Nico Hischier","N.J","C","70","958.53333333333","13","25","16","9","38","80.85"
"838","Andrei Svechnikov","CAR","R","78","1030.8","16","22","15","7","38","69.09"
"121","Cam Atkinson","PHI","R","73","924.03333333333","16","21","17","4","37","74.00"
"136","Victor Hedman","T.B","D","82","1470.45","11","26","11","15","37","48.05"
"166","Erik Haula","BOS","L","78","991.65","15","22","12","10","37","71.15"
"183","Evgeny Kuznetsov","WSH","C","79","1118.1","13","24","14","10","37","66.07"
"209","Nino Niederreiter","CAR","R","75","979.11666666667","18","19","11","8","37","62.71"
"296","Brady Skjei","CAR","D","82","1436.2333333333","9","28","16","12","37","51.39"
"507","Andrew Mangiapane","CGY","L","82","989.93333333333","23","14","8","6","37","75.51"
"542","Roope Hintz","DAL","C, L","80","1059.4","24","13","11","2","37","61.67"
"62","Alex Killorn","T.B","C, L","82","1044.35","14","22","12","10","36","75.00"
"188","Justin Faulk","STL","D","76","1425.6166666667","13","23","7","16","36","39.56"
"189","Brock Nelson","NYI","C","72","970.01666666667","21","15","11","4","36","75.00"
"200","Zach Hyman","EDM","C, L","76","1098.0333333333","19","17","13","4","36","76.60"
"282","Jonathan Marchessault","VGK","C","76","1097.7","18","18","14","4","36","76.60"
"292","Morgan Rielly","TOR","D","82","1474.5166666667","7","29","17","12","36","40.00"
"417","Valeri Nichushkin","COL","R","62","866.43333333333","15","21","13","8","36","67.92"
"37","Kris Letang","PIT","D","78","1505.6","6","29","18","11","35","49.30"
"258","Nikita Kucherov","T.B","R","47","704.93333333333","14","21","14","7","35","70.00"
"481","Viktor Arvidsson","L.A","L","66","892.08333333333","12","23","15","8","35","76.09"
"539","Mathew Barzal","NYI","C","73","1040.5333333333","12","23","13","10","35","77.78"
"546","Jack Roslovic","CBJ","C","81","939.55","17","18","12","6","35","72.92"
"31","Anze Kopitar","L.A","C","81","1179.4166666667","12","22","14","8","34","73.91"
"55","Claude Giroux","FLA, PHI","C, R","75","1034.2833333333","13","21","9","12","34","72.34"
"263","Ryan Strome","NYR","C","74","1039.7833333333","11","23","13","10","34","61.82"
"437","Frederick Gaudreau","MIN","C","76","905.81666666667","12","22","11","11","34","69.39"
"629","Patrik Laine","CBJ","L","56","805.88333333333","14","20","10","10","34","80.95"
"710","Trevor Moore","L.A","C","81","1029.8333333333","8","26","16","10","34","72.34"
"749","Nick Suzuki","MTL","C","82","1209.7666666667","9","25","12","13","34","72.34"
"960","Lucas Raymond","DET","L","82","1172.2666666667","16","18","8","10","34","65.38"
"14","Patrice Bergeron","BOS","C","73","891.18333333333","14","19","10","9","33","67.35"
"58","Phil Kessel","ARI","C, R","82","1077.75","5","28","15","13","33","66.00"
"223","Ondrej Palat","T.B","L","77","1016.1166666667","14","19","11","8","33","62.26"
"289","Yanni Gourde","SEA","C","74","1028.3833333333","14","19","16","3","33","78.57"
"379","Anthony Duclair","FLA","L","74","879.83333333333","18","15","13","2","33","57.89"
"479","Devon Toews","COL","D","66","1291.5166666667","7","26","7","19","33","41.77"
"664","Pierre-Luc Dubois","WPG","L","81","1190.35","9","24","14","10","33","62.26"
"22","Blake Wheeler","WPG","R","65","973.2","12","20","14","6","32","74.42"
"28","Paul Stastny","WPG","C","71","987.8","14","18","11","7","32","60.38"
"104","Jordan Eberle","SEA","C, R","79","1114.2666666667","16","16","9","7","32","68.09"
"131","Ryan O'Reilly","STL","C","78","1053.0833333333","9","23","14","9","32","69.57"
"147","Chris Kreider","NYR","L","81","1075.3666666667","20","12","7","5","32","65.31"
"158","Craig Smith","BOS","C","74","920.4","16","16","11","5","32","72.73"
"260","Gabriel Landeskog","COL","L","51","767.85","16","16","10","6","32","66.67"
"318","Shayne Gostisbehere","ARI","D","82","1420.55","12","20","8","12","32","55.17"
"364","Andreas Johnsson","N.J","L","71","909.18333333333","11","21","18","3","32","61.54"
"381","Oliver Bjorkstrand","CBJ","R","80","1098.45","16","16","13","3","32","78.05"
"385","Andrew Copp","NYR, WPG","C","72","991.81666666667","14","18","8","10","32","69.57"
"431","Conor Sheary","WSH","L","71","893.6","14","18","10","8","32","82.05"
"443","Sam Bennett","FLA","C","71","930.06666666667","19","13","10","3","32","55.17"
"497","Victor Olofsson","BUF","L","72","902.18333333333","10","22","14","8","32","80.00"
"535","Dylan Strome","CHI","C","69","977.86666666667","17","15","9","6","32","69.57"
"620","Adam Fox","NYR","D","78","1367.9666666667","8","24","11","13","32","51.61"
"761","Martin Necas","CAR","C","78","973.08333333333","10","22","15","7","32","68.09"
"880","Yegor Sharangovich","N.J","C","76","1023.1833333333","16","16","11","5","32","59.26"
"920","Jack Hughes","N.J","C","49","749.96666666667","16","16","10","6","32","74.42"
"963","Seth Jarvis","CAR","C","68","821.05","14","18","10","8","32","66.67"
"966","Dawson Mercer","N.J","C","82","1124.9","14","18","16","2","32","55.17"
"83","Evgenii Dadonov","VGK","R","78","1006.05","12","19","15","4","31","62.00"
"139","Brayden Schenn","STL","C","62","865.76666666667","13","18","13","5","31","64.58"
"234","Vincent Trocheck","CAR","C","81","992.21666666667","11","20","9","11","31","64.58"
"403","Artturi Lehkonen","COL, MTL","L","74","869.35","14","17","12","5","31","83.78"
"418","Max Domi","CAR, CBJ","C","72","828.33333333333","9","22","15","7","31","67.39"
"566","Jake DeBrusk","BOS","L","77","952.43333333333","17","14","8","6","31","77.50"
"689","Ross Colton","T.B","C","79","864.23333333333","20","11","7","4","31","81.58"
"708","Tanner Jeannot","NSH","L","81","993.45","17","14","8","6","31","77.50"
"828","Evan Bouchard","EDM","D","81","1306.1333333333","9","22","10","12","31","50.00"
"100","Josh Bailey","NYI","C, R","74","988.15","12","18","11","7","30","71.43"
"116","Gustav Nyquist","CBJ","C","82","1097.0666666667","9","21","14","7","30","50.85"
"240","Blake Coleman","CGY","C","81","1025.6","15","15","8","7","30","71.43"
"249","Boone Jenner","CBJ","C","59","876.75","14","16","8","8","30","69.77"
"305","Tom Wilson","WSH","R","78","1061.6333333333","14","16","7","9","30","52.63"
"469","Ryan Donato","SEA","C","74","862.36666666667","15","15","11","4","30","75.00"
"473","Brayden Point","T.B","C","66","953.8","15","15","10","5","30","52.63"
"684","Rem Pitlick","MIN, MTL","C","66","799.3","12","18","11","7","30","68.18"
"968","Anton Lundell","FLA","C","65","790.1","13","17","10","7","30","52.63"
"84","Mikael Backlund","CGY","C","82","1063.1833333333","10","19","14","5","29","60.42"
"87","Jakub Voracek","CBJ","R","79","1050.0666666667","2","27","24","3","29","63.04"
"157","Marcus Foligno","MIN","L","74","892.6","14","15","12","3","29","63.04"
"204","Ryan Johansen","NSH","C","79","940.11666666667","11","18","4","14","29","59.18"
"205","Tyler Seguin","DAL","C","81","1129.8833333333","17","12","10","2","29","78.38"
"208","Mikael Granlund","NSH","C","80","1104.5166666667","7","22","12","10","29","55.77"
"227","Travis Boyd","ARI","C","74","997.21666666667","14","15","9","6","29","54.72"
"252","Brandon Saad","STL","L","78","1024.5","13","16","9","7","29","63.04"
"278","Rickard Rakell","ANA, PIT","L, R","70","1027.6","14","15","8","7","29","53.70"
"309","Jacob Trouba","NYR","D","81","1463.0333333333","8","21","12","9","29","43.94"
"333","Jaccob Slavin","CAR","D","79","1386.35","3","26","10","16","29","39.19"
"366","MacKenzie Weegar","FLA","D","80","1488.0833333333","5","24","13","11","29","33.33"
"390","Shea Theodore","VGK","D","78","1484.05","7","22","12","10","29","43.28"
"440","Aaron Ekblad","FLA","D","61","1050.9166666667","10","19","5","14","29","43.28"
"460","Jared McCann","SEA","C, L","74","917.18333333333","17","12","7","5","29","78.38"
"483","Danton Heinen","PIT","L","76","865.33333333333","15","14","10","4","29","64.44"
"510","Noah Hanifin","CGY","D","81","1353.5","8","21","5","16","29","39.19"
"574","Evan Rodrigues","PIT","C","82","1056.95","9","20","12","8","29","65.91"
"723","Kailer Yamamoto","EDM","R","81","1174.55","14","15","9","6","29","53.70"
"746","Elias Pettersson","VAN","C","80","1089.0833333333","16","13","6","7","29","69.05"
"814","Pius Suter","DET","C","82","1066.8833333333","14","15","9","6","29","69.05"
"823","Joel Farabee","PHI","L","63","802.35","14","15","9","6","29","67.44"
"919","Matt Boldy","MIN","L","47","580.05","12","17","10","7","29","69.05"
"49","Kyle Okposo","BUF","R","74","956.11666666667","11","17","7","10","28","84.85"
"56","Jordan Staal","CAR","C","78","987.61666666667","13","15","7","8","28","60.87"
"69","James van Riemsdyk","PHI","L","82","1049.4833333333","15","13","7","6","28","68.29"
"114","Adam Henrique","ANA","C","58","824.01666666667","11","17","10","7","28","63.64"
"167","Anders Lee","NYI","C, L","76","1015.8","17","11","4","7","28","53.85"
"210","Bryan Rust","PIT","R","60","817.75","10","18","11","7","28","66.67"
"302","Mike Matheson","PIT","D","74","1264.5833333333","11","17","8","9","28","43.75"
"509","Frank Vatrano","FLA, NYR","C","71","853.65","15","13","10","3","28","77.78"
"548","Nicolas Roy","VGK","C","78","982.81666666667","13","15","12","3","28","57.14"
"693","Brandon Hagel","CHI, T.B","L","77","988.85","16","12","9","3","28","66.67"
"770","Josh Norris","OTT","C","66","900.25","16","12","6","6","28","62.22"
"981","Alexander Barabanov","S.J","L","70","1016.2333333333","6","22","13","9","28","60.87"
"10","Brent Burns","S.J","D","82","1567.15","6","21","10","11","27","39.71"
"60","Jonathan Toews","CHI","C","71","883.21666666667","7","20","13","7","27","65.85"
"80","David Perron","STL","L","67","909.31666666667","12","15","6","9","27","79.41"
"150","Reilly Smith","VGK","R","56","739.9","11","16","9","7","27","77.14"
"184","Charlie Coyle","BOS","C","82","1026.95","10","17","11","6","27","62.79"
"314","Colton Parayko","STL","D","80","1595.0333333333","4","23","7","16","27","33.75"
"384","Nicholas Paul","OTT, T.B","L","80","1065.85","13","14","4","10","27","72.97"
"411","Seth Jones","CHI","D","78","1525.3333333333","5","22","7","15","27","52.94"
"454","Travis Sanheim","PHI","D","80","1531.4333333333","6","21","11","10","27","34.62"
"468","Brandon Montour","FLA","D","81","1237.2833333333","9","18","6","12","27","39.13"
"486","Gustav Forsling","FLA","D","71","1241.2666666667","8","19","10","9","27","35.53"
"825","Quinn Hughes","VAN","D","76","1444.25","7","20","12","8","27","45.00"
"841","Rasmus Dahlin","BUF","D","80","1517.7333333333","9","18","10","8","27","45.76"
"937","Alex Newhook","COL","C","71","841.98333333333","10","17","9","8","27","79.41"
"965","Alexis Lafrenière","NYR","L","79","976.83333333333","18","9","4","5","27","69.23"
"6","Jeff Carter","PIT","C","76","996.46666666667","11","15","7","8","26","68.42"
"12","Corey Perry","T.B","R","82","931.6","8","18","14","4","26","70.27"
"106","John Carlson","WSH","D","78","1296.1833333333","5","21","14","7","26","44.07"
"130","Kyle Palmieri","NYI","C, R","69","901.7","13","13","7","6","26","59.09"
"153","Dmitry Orlov","WSH","D","76","1387.6333333333","9","17","12","5","26","40.63"
"215","Jesper Fast","CAR","R","82","1032.7","12","14","10","4","26","49.06"
"298","Tanner Pearson","VAN","L","68","898.8","11","15","7","8","26","63.41"
"326","Damon Severson","N.J","D","80","1393.7166666667","6","20","11","9","26","44.83"
"339","Josh Anderson","MTL","R","69","998.58333333333","14","12","6","6","26","66.67"
"346","Connor Brown","OTT","R","64","911.85","9","17","11","6","26","70.27"
"420","Alex Wennberg","SEA","C","80","1116.3333333333","8","18","11","7","26","65.00"
"498","Pierre Engvall","TOR","L","78","892.85","10","16","11","5","26","78.79"
"572","Anthony Cirelli","T.B","C","76","1036.4166666667","10","16","11","5","26","57.78"
"668","Mikhail Sergachev","T.B","D","78","1378.4333333333","5","21","11","10","26","41.27"
"793","Drake Batherson","OTT","R","46","667.26666666667","12","14","9","5","26","74.29"
"72","Logan Couture","S.J","C","77","1024","11","14","10","4","25","65.79"
"138","Evander Kane","EDM","L","43","681.16666666667","12","13","5","8","25","64.10"
"175","Christopher Tanev","CGY","D","82","1363.75","5","20","10","10","25","35.71"
"245","Jean-Gabriel Pageau","NYI","C","77","963.3","12","13","6","7","25","65.79"
"284","Barclay Goodrow","NYR","C","79","1040.8833333333","10","15","10","5","25","55.56"
"416","Bo Horvat","VAN","C","70","972.2","12","13","11","2","25","67.57"
"455","Alex Tuch","BUF","R","50","658.85","7","18","11","7","25","60.98"
"456","Tony DeAngelo","CAR","D","64","999.13333333333","8","17","10","7","25","38.46"
"462","Adrian Kempe","L.A","C, L","78","1027.1666666667","17","8","3","5","25","64.10"
"500","Jake Evans","MTL","C","72","915.55","11","14","9","5","25","64.10"
"511","Rasmus Andersson","CGY","D","82","1381.2166666667","2","23","13","10","25","33.33"
"564","Joel Eriksson Ek","MIN","C","77","931.55","11","14","8","6","25","55.56"
"594","Vladislav Gavrikov","CBJ","D","80","1466.45","4","21","10","11","25","36.23"
"622","Charlie McAvoy","BOS","D","78","1383.9","3","22","7","15","25","33.78"
"632","Jesse Puljujarvi","EDM","R","65","928.31666666667","9","16","9","7","25","49.02"
"675","Filip Hronek","DET","D","78","1346.05","2","23","12","11","25","47.17"
"756","Alex Formenton","OTT","L","79","966.78333333333","12","13","7","6","25","75.76"
"781","Alex Iafallo","L.A","L","79","1050.1666666667","11","14","6","8","25","64.10"
"837","Jesperi Kotkaniemi","CAR","C","66","706.98333333333","12","13","5","8","25","75.76"
"854","Noah Dobson","NYI","D","80","1355.8","8","17","12","5","25","43.86"
"905","Dylan Cozens","BUF","C","79","1026.85","11","14","5","9","25","65.79"
"969","Tim Stützle","OTT","L","79","1096.15","11","14","9","5","25","60.98"
"63","Jamie Benn","DAL","L","82","1043.4","9","15","7","8","24","64.86"
"91","Lars Eller","WSH","C","72","896.13333333333","11","13","11","2","24","60.00"
"117","Derek Grant","ANA","C","71","793.48333333333","11","13","8","5","24","82.76"
"256","William Karlsson","VGK","C","67","918.65","8","16","10","6","24","68.57"
"299","Scott Laughton","PHI","C","67","898.46666666667","8","16","7","9","24","70.59"
"387","Ryan Graves","N.J","D","75","1316.4","6","18","11","7","24","38.71"
"453","Sonny Milano","ANA","L","66","837.45","9","15","11","4","24","72.73"
"491","Oskar Lindblom","PHI","L","79","961.51666666667","11","13","7","6","24","64.86"
"515","Pavel Zacha","N.J","C","70","929.41666666667","8","16","9","7","24","60.00"
"529","Oliver Kylington","CGY","D","73","1193.6166666667","6","18","6","12","24","35.29"
"556","Lawson Crouse","ARI","L","65","843.58333333333","15","9","6","3","24","66.67"
"911","Cole Caufield","MTL","R","67","874","15","9","5","4","24","58.54"
"998","Cole Sillinger","CBJ","C","79","942.93333333333","14","10","6","4","24","70.59"
"8","Zach Parise","NYI","L","82","947.25","9","14","10","4","23","58.97"
"115","TJ Brodie","TOR","D","82","1475.05","4","19","10","9","23","32.86"
"151","Tomas Tatar","N.J","L","76","942.8","12","11","5","6","23","65.71"
"216","John Klingberg","DAL","D","74","1323.1166666667","3","20","12","8","23","42.59"
"277","Vladislav Namestnikov","DAL, DET","C","75","920.21666666667","12","11","5","6","23","63.89"
"307","Teuvo Teravainen","CAR","L","77","932.65","10","13","9","4","23","50.00"
"322","Adam Pelech","NYI","D","78","1377.4833333333","2","21","10","11","23","37.70"
"329","Teddy Blueger","PIT","C","65","795.78333333333","7","16","6","10","23","67.65"
"459","Kasperi Kapanen","PIT","R","79","978.58333333333","11","12","8","4","23","62.16"
"467","Nicolas Aube-Kubel","COL, PHI","R","74","716.83333333333","11","12","9","3","23","76.67"
"470","Christian Dvorak","MTL","L","56","699.71666666667","9","14","9","5","23","76.67"
"549","Anthony Beauvillier","NYI","L","75","1045.2","7","16","12","4","23","56.10"
"634","Dillon Dube","CGY","C","79","866.9","13","10","5","5","23","65.71"
"650","Dante Fabbro","NSH","D","66","1127.9333333333","2","21","11","10","23","41.07"
"936","Vasily Podkolzin","VAN","R","79","940.45","12","11","9","2","23","57.50"
"7","Dustin Brown","L.A","L, R","64","783.95","7","15","7","8","22","78.57"
"42","Anton Stralman","ARI","D","74","1301.45","7","15","7","8","22","36.67"
"85","Ryan McDonagh","T.B","D","71","1265.75","4","18","7","11","22","41.51"
"192","Kevin Hayes","PHI","C, R","48","643","6","16","8","8","22","73.33"
"217","Mark Stone","VGK","R","37","513.56666666667","5","17","12","5","22","73.33"
"344","Vinnie Hinostroza","BUF","C","62","807.51666666667","11","11","7","4","22","75.86"
"472","Warren Foegele","EDM","L","82","954.65","9","13","9","4","22","59.46"
"547","Zach Werenski","CBJ","D","68","1317.25","6","16","7","9","22","43.14"
"554","Thomas Chabot","OTT","D","59","1242.2333333333","6","16","6","10","22","36.67"
"555","Mathieu Joseph","OTT, T.B","R","69","797.63333333333","8","14","6","8","22","64.71"
"565","Denis Gurianov","DAL","R","73","868.93333333333","6","16","10","6","22","64.71"
"819","Eric Robinson","CBJ","L","67","758.08333333333","7","15","9","6","22","84.62"
"829","Isac Lundestrom","ANA","C","80","981.91666666667","11","11","7","4","22","70.97"
"912","Moritz Seider","DET","D","82","1395.4","2","20","9","11","22","34.38"
"925","Philip Tomasino","NSH","C","76","756.53333333333","8","14","12","2","22","66.67"
"9","Ryan Getzlaf","ANA","C","56","815.08333333333","1","20","11","9","21","75.00"
"71","Sam Gagner","DET","C","81","829.03333333333","8","13","10","3","21","63.64"
"86","Max Pacioretty","VGK","L","39","534.66666666667","14","7","2","5","21","72.41"
"122","Jared Spurgeon","MIN","D","65","956.98333333333","7","14","7","7","21","37.50"
"233","Sean Kuraly","CBJ","C","77","986.71666666667","10","11","2","9","21","47.73"
"262","Adam Larsson","SEA","D","82","1538.8833333333","7","14","9","5","21","38.89"
"286","Torey Krug","STL","D","64","1061.9166666667","4","17","9","8","21","31.34"
"304","Cody Ceci","EDM","D","78","1375.15","5","16","6","10","21","37.50"
"407","Brett Pesce","CAR","D","70","1206.9833333333","4","17","6","11","21","35.59"
"422","Nikita Zadorov","CGY","D","74","1162.9","3","18","8","10","21","46.67"
"436","Garnet Hathaway","WSH","R","76","889.35","11","10","3","7","21","55.26"
"518","Vince Dunn","SEA","D","73","1266.7833333333","5","16","6","10","21","41.18"
"532","Keegan Kolesar","VGK","R","77","879.1","5","16","11","5","21","63.64"
"578","Derek Ryan","EDM","C","75","710.55","10","11","6","5","21","63.64"
"733","Michael Rasmussen","DET","C","80","940.66666666667","13","8","5","3","21","63.64"
"740","Jesper Boqvist","N.J","C","56","681.18333333333","9","12","6","6","21","77.78"
"759","Miro Heiskanen","DAL","D","70","1345.9666666667","1","20","9","11","21","42.00"
"788","Eetu Luostarinen","FLA","C","78","868.75","6","15","8","7","21","65.63"
"984","Artem Zub","OTT","D","81","1462.1166666667","6","15","6","9","21","41.18"
"25","Alex Goligoski","MIN","D","72","1113.9","2","18","7","11","20","24.69"
"54","Jeff Petry","MTL","D","68","1155.1166666667","6","14","6","8","20","38.46"
"68","Pat Maroon","T.B","L","81","889.35","8","12","6","6","20","54.05"
"73","P.K. Subban","N.J","D","77","1252.6166666667","5","15","7","8","20","34.48"
"102","Erik Karlsson","S.J","D","50","890.66666666667","7","13","6","7","20","50.00"
"105","Tyler Ennis","OTT","C, R","57","608.65","7","13","10","3","20","86.96"
"145","Dmitry Kulikov","MIN","D","80","1239.7666666667","5","15","9","6","20","31.25"
"156","Mattias Ekholm","NSH","D","76","1311.6166666667","5","15","6","9","20","30.77"
"177","Calle Jarnkrok","CGY, SEA","C","66","797.3","8","12","3","9","20","62.50"
"180","Tyler Toffoli","CGY, MTL","C, R","74","887.91666666667","6","14","9","5","20","68.97"
"259","Ryan Nugent-Hopkins","EDM","C","63","820.7","6","14","9","5","20","52.63"
"330","Jake McCabe","CHI","D","75","1278.6","3","17","7","10","20","41.67"
"331","Brock McGinn","PIT","L","64","809.35","10","10","7","3","20","76.92"
"362","Dominik Kubalik","CHI","L","78","972.35","10","10","1","9","20","64.52"
"378","Mattias Janmark","VGK","C","67","828.01666666667","6","14","6","8","20","62.50"
"404","William Carrier","VGK","L","63","707.25","9","11","5","6","20","57.14"
"414","Darnell Nurse","EDM","D","71","1397.55","6","14","7","7","20","33.90"
"458","Robby Fabbri","DET","C","56","761.23333333333","10","10","7","3","20","68.97"
"520","Jordan Greenway","MIN","L","62","753.41666666667","6","14","5","9","20","46.51"
"538","Brock Boeser","VAN","R","71","1025.3","9","11","4","7","20","57.14"
"570","Yakov Trenin","NSH","C","80","1000.6166666667","13","7","3","4","20","60.61"
"615","Luke Kunin","NSH","C","82","952.15","13","7","5","2","20","58.82"
"663","Samuel Girard","COL","D","67","1227.4833333333","4","16","7","9","20","32.79"
"763","Timothy Liljegren","TOR","D","61","892.73333333333","4","16","5","11","20","35.09"
"778","Filip Chytil","NYR","C","67","788.55","8","12","7","5","20","68.97"
"11","Brian Boyle","PIT","C","66","572.58333333333","10","9","4","5","19","82.61"
"43","Patric Hornqvist","FLA","R","65","667.3","8","11","4","7","19","63.33"
"48","Erik Johnson","COL","D","77","1059.0333333333","6","13","6","7","19","33.33"
"67","Kevin Shattenkirk","ANA","D","82","1356.4666666667","6","13","9","4","19","36.54"
"97","Alex Pietrangelo","VGK","D","80","1483.8","7","12","6","6","19","28.79"
"111","Derek Stepan","CAR","C","58","561.28333333333","9","10","6","4","19","76.00"
"168","Nick Jensen","WSH","D","76","1247.7166666667","5","14","7","7","19","29.23"
"169","Nic Dowd","WSH","C","64","757.11666666667","9","10","8","2","19","65.52"
"178","Justin Holl","TOR","D","69","1166.3666666667","2","17","5","12","19","33.33"
"186","Jon Merrill","MIN","D","69","1020.4","4","15","6","9","19","33.33"
"193","Cam Fowler","ANA","D","76","1379.8","2","17","6","11","19","31.15"
"267","Dougie Hamilton","N.J","D","62","1049.3333333333","6","13","5","8","19","32.76"
"291","Alex Galchenyuk","ARI","C","60","725.76666666667","5","14","7","7","19","63.33"
"315","Oskar Sundqvist","DET, STL","C","59","667.3","7","12","9","3","19","55.88"
"328","Colton Sissons","NSH","C","79","970.8","5","14","5","9","19","59.38"
"424","Anthony Mantha","WSH","R","37","468.7","7","12","10","2","19","67.86"
"448","Nick Ritchie","ARI, TOR","L","57","634.58333333333","11","8","3","5","19","76.00"
"530","Evgeny Svechnikov","WPG","L","72","763.96666666667","7","12","5","7","19","73.08"
